year,month,value
1973,4,-1.1257
1973,5,.073456
1973,6,.53116
1973,7,.27047
1973,8,.31251
1973,9,.11416
1973,10,.3371
1973,11,.0022447
1973,12,-.18148
1974,1,.23216
1974,2,-.48927
1974,3,-.7462800000000001
1974,4,.30882
1974,5,-.50704
1974,6,-.04751
1974,7,.38996
1974,8,-.53337
1974,9,-.13579
1974,10,-1.0239
1974,11,-.43475
1974,12,.55645
1975,1,1.5945
1975,2,.19446
1975,3,.1512
1975,4,.40878
1975,5,-.61433
1975,6,-.32323
1975,7,.34529
1975,8,.13004
1975,9,1.2783
1975,10,.13771
1975,11,.6187
1975,12,1.2898
1976,1,.034333
1976,2,1.6563
1976,3,.58709
1976,4,.43968
1976,5,.059626
1976,6,.328
1976,7,-.32529
1976,8,.55859
1976,9,-.74252
1976,10,-.8041199999999999
1976,11,-.087349
1976,12,-2.0743
1977,1,-3.7671
1977,2,-2.0105
1977,3,.34446
1977,4,1.3285
1977,5,.10432
1977,6,-.22616
1977,7,-.49173
1977,8,-1.4122
1977,9,.58648
1977,10,-.009178
1977,11,.60528
1977,12,-.23965
1978,1,-.34696
1978,2,-3.0136
1978,3,.50191
1978,4,-.9670800000000001
1978,5,.059049
1978,6,.63464
1978,7,-.60399
1978,8,-.35366
1978,9,-.098999
1978,10,.8946
1978,11,2.4695
1978,12,-.98014
1979,1,-2.2328
1979,2,-.6967100000000001
1979,3,-.81414
1979,4,-1.1568
1979,5,-.25009
1979,6,.93316
1979,7,.038511
1979,8,-.68413
1979,9,-.045949
1979,10,-1.2434
1979,11,.47508
1979,12,1.2948
1980,1,-2.0657
1980,2,-.93372
1980,3,-1.4333
1980,4,-.41913
1980,5,-1.1548
1980,6,.72149
1980,7,-.62221
1980,8,-.18519
1980,9,.31262
1980,10,-.52121
1980,11,-1.361
1980,12,-.0573
1981,1,-.11634
1981,2,-.33158
1981,3,-1.6447
1981,4,.43041
1981,5,.17956
1981,6,-.43793
1981,7,.56055
1981,8,-.24411
1981,9,-1.0401
1981,10,-1.1675
1981,11,-.18767
1981,12,-1.2157
1982,1,-.88341
1982,2,.9739100000000001
1982,3,1.0741
1982,4,1.4538
1982,5,-.2087
1982,6,-1.1801
1982,7,.0047753
1982,8,.36223
1982,9,.55772
1982,10,-.21098
1982,11,.66093
1982,12,.96718
1983,1,1.3591
1983,2,-1.8059
1983,3,-.56707
1983,4,-.73776
1983,5,-.44093
1983,6,.31253
1983,7,.13055
1983,8,1.0978
1983,9,.16689
1983,10,1.3689
1983,11,-.68793
1983,12,.18625
1984,1,.90504
1984,2,-.30272
1984,3,-2.386
1984,4,-.28359
1984,5,.47918
1984,6,.0072895
1984,7,.018871
1984,8,.46569
1984,9,-.41276
1984,10,-.27026
1984,11,-.96587
1984,12,.446
1985,1,-2.8057
1985,2,-1.4398
1985,3,.55144
1985,4,.65242
1985,5,-.43221
1985,6,-.34656
1985,7,-.38958
1985,8,-.0014289
1985,9,.11441
1985,10,1.0351
1985,11,-1.2175
1985,12,-1.9476
1986,1,-.56764
1986,2,-2.9041
1986,3,1.9308
1986,4,.10299
1986,5,.36687
1986,6,.53457
1986,7,-.0082585
1986,8,-.82629
1986,9,-.023385
1986,10,1.4246
1986,11,.92572
1986,12,.059768
1987,1,-1.1476
1987,2,-1.4732
1987,3,-1.7465
1987,4,.38697
1987,5,.32524
1987,6,-.71027
1987,7,-.46627
1987,8,-.8357
1987,9,.28653
1987,10,-.080009
1987,11,-.53584
1987,12,-.53391
1988,1,.26466
1988,2,-1.0662
1988,3,-.19707
1988,4,-.56071
1988,5,-.84614
1988,6,.060528
1988,7,-.14337
1988,8,.25457
1988,9,1.0393
1988,10,.032359
1988,11,-.034655
1988,12,1.6788
1989,1,3.106
1989,2,3.2793
1989,3,1.5303
1989,4,-.25024
1989,5,.88883
1989,6,.34498
