ISIN	null								
Start date	08.04.2024								
End date	24.04.2024								
									
ISIN	Security full name	Issue size (mn)	Date	Face value	Face value currency	Outstanding face value	Coupon rate, per cent per annum	Payment amount, nominal currency	Payment amount, RUB*
RU000A105427	Balti-GRAND BO-P05	250	13.04.2024	1000	RUB	800	14	9.21	9.21
RU000A103X74	Fabrica FAVORIT BO-P01	50	13.04.2024	1000	RUB	500	12.5	7.71	7.71
RU000A1011Q3	Novosibirsk region 20	5000	13.04.2024	1000	RUB	350	6.5	12.96	12.96
RU000A1080N5	Element Leasing BO 001P-07	2500	12.04.2024	1000	RUB	1000	15.75	12.95	12.95
RU000A107DP1	Rosseti Moscow Region BO1P05	8000	12.04.2024	1000	RUB	1000	17.15	14.1	14.1
RU000A1070L0	YATEC 001P-03	6000	12.04.2024	1000	RUB	1000	15.35	38.27	38.27
RU000A106K19	ER-Telekom Holding PBO-02-04	10000	12.04.2024	1000	RUB	1000	12	29.92	29.92
RU000A106JZ9	Bashkir soda company 1P-03	6000	12.04.2024	1000	RUB	1000	10.6	26.43	26.43
RU000A104YT6	Samolet Group BO-P12	15000	12.04.2024	1000	RUB	1000	13.25	33.03	33.03
RU000A104KM0	SELL-Servis BO-P01	65	12.04.2024	1000	RUB	1000	16	13.15	13.15
RU000A104BX6	NTC EUROVENT BO-P01	50	12.04.2024	1000	RUB	500	16	6.58	6.58
RU000A100XU4	RESO-LEASING BO-P-07	5000	12.04.2024	1000	RUB	1000	8.65	43.13	43.13
RU000A1009Z8	O'KEY LLC BO 001P-02	5000	12.04.2024	1000	RUB	1000	9.9	24.68	24.68
RU000A0ZYNY4	GTLK BO-001P-07	10000	12.04.2024	1000	RUB	1000	11.7	29.17	29.17
RU000A0ZYDH0	FGC ROSSETI BO-03	9000	12.04.2024	1000	RUB	1000	8	19.95	19.95
RU000A0ZYCD1	Kursk reg.-35001	4000	12.04.2024	1000	RUB	300	7.96	5.95	5.95
RU000A0JXVH8	Tambov Region FinDpt 35003	3500	12.04.2024	1000	RUB	250	8.4	5.24	5.24
RU000A0JWWM8	TransFin-M 001P-01	0.002	12.04.2024	1000	RUB	1000	8.5	42.38	42.38
RU000A0JVVK6	PSB BO-01	10000	12.04.2024	1000	RUB	1000	16.2	40.39	40.39
RU000A0JVN56	Rosselhozbank 24	10000	12.04.2024	1000	RUB	1000	17.6	43.88	43.88
XS1980255936	ARAB REPUBLIC 6.375 11/04/31	1.25	11.04.2024	1000	EUR	1000	6.375	63.75	6453.62
RU000A107S10	Rosselkhozbank BO-03-002P	20000	11.04.2024	1000	RUB	1000	17.08	14.51	14.51
RU000A107DD7	TECHNLG BO-01	200	11.04.2024	1000	RUB	1000	18.5	15.21	15.21
RU000A107D74	Energotekhservice 001P-05	1000	11.04.2024	1000	RUB	1000	16.25	13.36	13.36
RU000A106XD7	Seligdar GOLD02	6786.713	11.04.2024	5878.39	RUB	7046.86	5.5	93.44	93.44
RU000A106JV8	ER-Telekom Holding PBO-02-03	11000	11.04.2024	1000	RUB	1000	12	29.92	29.92
RU000A1063Z5	PhosAgro BO-P01-CNY	2000	11.04.2024	1000	CNY	1000	4.65	11.59	149.2
RU000A1063Y8	Aquilon-Leasing BO-02-001P	100	11.04.2024	1000	RUB	1000	14.5	36.15	36.15
RU000A1061F1	Rosselkhozbank BO-07-002P	1464.418	11.04.2024	1000	RUB	1000	8.5	7.22	7.22
RU000A105V74	Element Leasing BO 001P-04	2500	11.04.2024	1000	RUB	612.2	10.55	5.55	5.55
RU000A105UZ8	MFC Summit 001P-01	200	11.04.2024	1000	RUB	916.8	19.5	15.36	15.36
RU000A105QZ6	AGTK BO-01	135	11.04.2024	1000	RUB	1000	16.5	41.14	41.14
RU000A1043L7	Kviku 001P-01	201.783	11.04.2024	1000	RUB	1000	13.25	10.89	10.89
RU000A102YH5	Sber 001P-SBER26	27000	11.04.2024	1000	RUB	1000	7.45	37.15	37.15
RU000A102YG7	Sber 001P-SBER25	18000	11.04.2024	1000	RUB	1000	7.45	37.15	37.15
RU000A102895	Novosibirsk region 34021	5000	11.04.2024	1000	RUB	800	5.85	14.58	14.58
RU000A101L96	EuroChem MCC JSC BO-001-P07	10000	11.04.2024	1000	RUB	1000	8.25	41.14	41.14
RU000A0ZYDD9	Transneft BO-001P-08	25000	11.04.2024	1000	RUB	1000	7.9	39.39	39.39
RU000A0JV4P3	OFZ-PK 29008	190287.001	10.04.2024	1000	RUB	1000	10.29	51.31	51.31
RU000A1014N4	OFZ-PD 26232	450000	10.04.2024	1000	RUB	1000	6	29.92	29.92
RU000A0ZZYW2	OFZ-PD 26226	450000	10.04.2024	1000	RUB	1000	7.95	39.64	39.64
RU000A107JK9	Bank VTB B-1-347	5000	10.04.2024	1000	RUB	1000	14.5	36.15	36.15
RU000A107JH5	Bank VTB B-1-350	2215.307	10.04.2024	1000	RUB	1000	15.2	37.9	37.9
RU000A107D17	ROSSETI BO 001P-12R	5000	10.04.2024	1000	RUB	1000	12.8	10.52	10.52
RU000A107CG2	ROSSETI BO 001P-11R	10000	10.04.2024	1000	RUB	1000		14.01	14.01
RU000A1070B1	Bank VTB B-1-308	8.015	10.04.2024	1000	RUB	1000	12.75	31.79	31.79
RU000A1070A3	Okhta Group BO-P03	500	10.04.2024	1000	RUB	1000	17	42.38	42.38
RU000A106ZU6	RusHydro BO-P12	30000	10.04.2024	1000	RUB	1000	17.2	42.88	42.88
RU000A106JC8	Royal Capital BO-P09	100	10.04.2024	1000	RUB	1000	15	37.4	37.4
RU000A106DK4	Fordewind 02	500	10.04.2024	1000	RUB	1000	16	13.15	13.15
RU000A106DJ6	MLFT BO-02	200	10.04.2024	1000	RUB	1000	15.25	12.53	12.53
RU000A106862	Garant-Invest BO 002P-06	2000	10.04.2024	1000	RUB	1000	13	10.68	10.68
RU000A106375	GazpromCapital 07	40000	10.04.2024	1000	RUB	1000		42.32	42.32
RU000A104B04	Petersburgsnab 001P-01	8.014	10.04.2024	1000	RUB	662	13.25	7.39	7.39
RU000A103R98	MFC CarMoney 01	400	10.04.2024	1000	RUB	500	12.75	5.24	5.24
RU000A103DT2	ARGEN BO-01	300	10.04.2024	1000	RUB	1000	10.75	26.8	26.8
RU000A1034X1	LIZING-TREYD 001P-03	500	10.04.2024	1000	RUB	1000	11	9.04	9.04
RU000A102SM7	CDEK Global BO-P01	500	10.04.2024	1000	RUB	1000	9.5	7.81	7.81
RU000A1028G8	Rostelecom 002P-05R	10000	10.04.2024	1000	RUB	1000	6.3	31.41	31.41
RU000A102887	Bank VTB SUB-T2-2	20000	10.04.2024	10000000	RUB	10000000	15.2	757917.81	757917.81
RU000A102879	Bank VTB SUB-T2-1	70000	10.04.2024	10000000	RUB	10000000	7.6	378958.9	378958.9
RU000A100L55	MTS 001P-11	10000	10.04.2024	1000	RUB	1000	7.9	19.7	19.7
RU000A1009L8	RZD BO 001P-15R	15000	10.04.2024	1000	RUB	1000	8.8	21.94	21.94
RU000A0NNE93	Bank VTB B-1-187	128.581	10.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0NNE85	Bank VTB B-1-186	193.256	10.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A0JUW23	Rosbank 15-IP	5000	10.04.2024	1000	RUB	125	11.92	5.57	5.57
RU000A0JT7T2	FGC ROSSETI 21	10000	10.04.2024	1000	RUB	1000	7.4	36.9	36.9
XS2058691663	VEON Holdings B.V. 09/04/25	700	09.04.2024	1000	USD	1000	4	20	1851.62
RU000A107RZ0	Samolet Group BO-P13	24500	09.04.2024	1000	RUB	1000	14.75	12.12	12.12
RU000A107CJ6	Global Factoring BO-04-001P	150	09.04.2024	1000	RUB	1000	21.92	18.02	18.02
RU000A1070P1	Clean Planet BO-01	100	09.04.2024	1000	RUB	1000	17.5	14.38	14.38
RU000A107084	Gazprom capital BO-002P-10	30000	09.04.2024	1000	RUB	1000		42.18	42.18
RU000A107050	Gazprom capital BO-002P-09	30000	09.04.2024	1000	RUB	1000		42.18	42.18
RU000A106VN0	TRDB BO-01	100	09.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A106J61	Praktika LK 001P-01	2000	09.04.2024	1000	RUB	1000	11	27.42	27.42
RU000A106J04	Urozhai BO-03	200	09.04.2024	1000	RUB	1000	16	39.89	39.89
RU000A105YF2	Strana Development 02	1000	09.04.2024	1000	RUB	1000	14.5	11.92	11.92
RU000A105QL6	Interskol BO-02	350	09.04.2024	1000	RUB	1000	18	44.88	44.88
RU000A105A61	MMC NORILSK NICKEL BO-001P-02	25000	09.04.2024	1000	RUB	1000	9.75	48.62	48.62
RU000A1053R3	Ferroni BO-01	200	09.04.2024	1000	RUB	1000	20	16.44	16.44
RU000A103DN5	Republic of Bashkortostan34012	10000	09.04.2024	1000	RUB	1000	7.65	19.07	19.07
RU000A103B05	TATNEFTEKHIM 02	300	09.04.2024	1000	RUB	500	11	18.08	18.08
RU000A102Y66	LEGENDA BO 001P-04	4000	09.04.2024	1000	RUB	1000	9.95	24.81	24.81
RU000A101WL3	Moscow Region MEF 34014	28000	09.04.2024	1000	RUB	700	5.75	10.03	10.03
RU000A100XP4	Moscow Region MEF 2019	25000	09.04.2024	1000	RUB	250	7.05	4.39	4.39
RU000A0JWDN6	RUSAL Bratsk BO-01	10000	09.04.2024	1000	RUB	1000	0.01	0.05	0.05
XS2307308069	BCS SP Plc Series 149	10	08.04.2024	1250	USD	1250			
XS2306607271	BCS SP Plc Series 147	10	08.04.2024	1250	USD	1250			
RU000A1070G0	MFC Bistrodengi 002P-03	333.356	08.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A106ZL5	RZD BO 001P-28R	45000	08.04.2024	1000	RUB	1000	17.02	14.46	14.46
RU000A106HF5	Elektroresheniya 001P-01	1000	08.04.2024	1000	RUB	1000	12.3	30.67	30.67
RU000A106D18	MSBLis3P01	300	08.04.2024	1000	RUB	1000	13.5	11.1	11.1
RU000A106AP9	SberIOS 001P-567R 5Y AC IMOEX	1160.687	08.04.2024	1000	RUB	1000	0.01	0.02	0.02
RU000A105M59	LC Rodelen BO 001P-03	250	08.04.2024	1000	RUB	1000	15	12.33	12.33
RU000A1053H4	LIZING-TREYD 001P-05	100	08.04.2024	1000	RUB	1000	19	15.62	15.62
RU000A104DD4	Bank VTB B-1-294	54.774	08.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A103QJ5	MFC Zaymer 03	500	08.04.2024	1000	RUB	278.5	12.7	3.49	3.49
RU000A103455	Gruppa Prodovolstvie 001P-01	100	08.04.2024	1000	RUB	1000	12	9.86	9.86
RU000A102ZH2	YATEC 001P-02	5000	08.04.2024	1000	RUB	600	9.15	36.5	36.5
RU000A1022E6	PR-Leasing LLC BO 002P-01	1750	08.04.2024	1000	RUB	1000	12	9.86	9.86
RU000A101UW4	SPE Social Development 02	1798.53	08.04.2024	1000	RUB	523.52	16.31	23.06	23.06
RU000A101UU8	SPE Social Development 01	3216.086	08.04.2024	1000	RUB	523.52	10.21	14.43	14.43
RU000A100XC2	Polyus PBO-01	20000	08.04.2024	1000	RUB	1000	7.4	36.9	36.9
RU000A1009A1	MegaFon BO-002P-02	10000	08.04.2024	1000	RUB	1000	8.9	44.38	44.38
RU000A0JU7S1	FGC ROSSETI 29	20000	08.04.2024	1000	RUB	1000	8.48	21.14	21.14
