ISIN	null								
Start date	08.04.2024								
End date	24.04.2024								
									
ISIN	Security full name	Issue size (mn)	Date	Face value	Face value currency	Outstanding face value	Coupon rate, per cent per annum	Payment amount, nominal currency	Payment amount, RUB*
RU000A0JXS83	Yaroslavl region 2017	10000	23.04.2024	1000	RUB	875	8.4	18.32	18.32
XS2388941580	BCS SP Plc Series 216	5	22.04.2024	1250	USD	1250			
XS2243344434	Bonitron DAC 22/10/25	300	22.04.2024	1000	USD	1000	9	45	4211.51
XS2010040397	Uralkali Finance 22/10/24	500	22.04.2024	1000	USD	1000	4	20	1871.78
RU000A107U65	MFC WEBBANKER 05	150	22.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A1074Q1	SOLNECHNYY SVET 001P-01	1000	22.04.2024	1000	RUB	1000	15.25	12.53	12.53
RU000A107217	ARENZA-PRO 001P-03	300	22.04.2024	1000	RUB	1000	15.5	13.16	13.16
RU000A106XT3	ID Collect 04	600	22.04.2024	1000	RUB	1000	16.5	13.56	13.56
RU000A106VT7	ALFA-BANK 001P-07	2601.993	22.04.2024	1000	RUB	1000			
RU000A106L18	SberIOS 001P-577R 5Y AC MOEXOG	364.256	22.04.2024	1000	RUB	1000	0.01	0.01	0.01
RU000A106EB1	SberIOS 001P-571R 5Y AC IMOEX	312.66	22.04.2024	1000	RUB	1000	0.01	0.01	0.01
RU000A105RQ3	Bank VTB B-1-321	806.239	22.04.2024	1000	RUB	1000	0.01	0.02	0.02
RU000A105A04	METALLOINVEST 028	285.78	22.04.2024	1000	USD	1000	3.375	16.875	1579.32
RU000A105575	MFC WEBBANKER 03	100	22.04.2024	1000	RUB	1000	14	11.51	11.51
RU000A104HG8	Bank VTB C-1-187(structural)	0	22.04.2024	1000	RUB	1000	0		
RU000A1037E4	SpecialInvestLeasing 001P-03	250	22.04.2024	1000	RUB	312.5	10	2.57	2.57
RU000A1030F6	Raiffeisenbank BPO-02	61.098	22.04.2024	1000	RUB	1000	0.01	0.05	0.05
RU000A1020K7	FJPM LLC BO-P02	120	22.04.2024	10000	RUB	10000	13	106.85	106.85
RU000A100B73	METALLOINVEST BO-09	5000	22.04.2024	1000	RUB	1000	8.85	44.13	44.13
RU000A0ZYDU3	Sverdlovskaya obl. 04	10000	22.04.2024	1000	RUB	400	7.7	7.68	7.68
RU000A0JVWJ6	GTLK (PAO) BO-06	4000	22.04.2024	1000	RUB	1000	11.64	29.02	29.02
RU000A1082X0	LSR 001P-09	3000	21.04.2024	1000	RUB	1000	14.75	12.12	12.12
RU000A1082W2	New technologies BO-03	1000	21.04.2024	1000	RUB	1000	15.85	13.03	13.03
RU000A107TR3	Garant-Invest BO 002P-08	3000	21.04.2024	1000	RUB	1000	18	14.79	14.79
RU000A1078X8	DirectLeasing BO 002P-02	300	21.04.2024	1000	RUB	933.2	19	14.57	14.57
RU000A1074F4	Money Kapital 001P-01	150	21.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A106TQ7	VimpelKom 002P-03	6000	21.04.2024	1000	RUB	1000	7.3	18.2	18.2
RU000A106TN4	VimpelKom 002P-01	7000	21.04.2024	1000	RUB	1000	9.32	23.24	23.24
RU000A106LS0	Global Factoring BO-03-001P	150	21.04.2024	1000	RUB	1000	14.75	12.12	12.12
RU000A106K43	RZD BO 001P-26R	30000	21.04.2024	1000	RUB	1000	16.99	14.43	14.43
RU000A1060U2	Global Factoring BO-02-001P	150	21.04.2024	1000	RUB	1000	16.5	13.56	13.56
RU000A105YK2	VimpelKom 001P-03	9600	21.04.2024	1000	RUB	1000	7.3	18.2	18.2
RU000A105WK6	VimpelKom 001P-04	6000	21.04.2024	1000	RUB	1000	8.85	22.06	22.06
RU000A105WC3	VimpelKom 001P-01	12000	21.04.2024	1000	RUB	1000	9.32	23.24	23.24
RU000A1058U6	MFC CarMoney 02	274.622	21.04.2024	1000	RUB	700	19	10.93	10.93
RU000A103TS0	TECHNO Leasing 001P-05	423.874	21.04.2024	1000	RUB	1000	11.5	9.45	9.45
RU000A103GT5	JSC Rosselkhozbank BO-01RS-P	0.29	21.04.2024	1000	USD	1000	1.4	1.19	111.37
RU000A100LE3	Lambumiz BO-P01	120	21.04.2024	10000	RUB	5000	9.5	39.04	39.04
RU000A100CG7	ObjedinenieAgroElita BO-P03	400	21.04.2024	1000	RUB	125	13.75	1.46	1.46
RU000A1082M3	Rekord Trade 01	300	20.04.2024	1000	RUB	1000	20	16.44	16.44
RU000A1082K7	MFC WEBBANKER 06	350	20.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A107G63	JetLend BO-01	80	20.04.2024	1000	RUB	1000	21	17.26	17.26
RU000A107F49	Gazprombank BO 005P-02P	20000	20.04.2024	1000	RUB	1000	16	13.59	13.59
RU000A107B19	Novosibirsk region 35023	20000	20.04.2024	1000	RUB	1000	12.75	31.79	31.79
RU000A107480	LIZING-TREYD 001P-10	200	20.04.2024	1000	RUB	1000	20	16.44	16.44
RU000A1065M8	ID Collect 03	800	20.04.2024	1000	RUB	1000	15	12.33	12.33
RU000A105PP9	EvroTrans BO-001P-01	3000	20.04.2024	1000	RUB	1000	13.5	11.1	11.1
RU000A105C93	Siberian Glass BO-P03	300	20.04.2024	1000	RUB	1000	17	13.97	13.97
RU000A1043E2	Novosibirsk region 35022	10000	20.04.2024	1000	RUB	1000	9.03	22.51	22.51
RU000A102ZC3	SFO Azimuth 01	1600	20.04.2024	1000	RUB	558.21	17.36	24.16	24.16
RU000A0ZYH93	Novosibirsk 9	5000	20.04.2024	1000	RUB	450	7.85	8.71	8.71
RU000A0NNE85	Bank VTB B-1-186	193.256	20.04.2024	1000	RUB	1000	0.01		
RU000A0JVUY9	Rosbank BO-08	5000	20.04.2024	1000	RUB	1000	1	5.01	5.01
XS1701384494	RZD Capital PLC 7.9 19/10/24	15000	19.04.2024	100000	RUB	100000	7.9	3950	3950
RU000A107FN1	TECHNO Leasing 001P-06	300	19.04.2024	1000	RUB	1000	17	13.97	13.97
RU000A107FG5	Trans-Mission BO-02	300	19.04.2024	1000	RUB	1000	20.24	16.64	16.64
RU000A1078K5	Ultra BO-02	100	19.04.2024	1000	RUB	1000	18.75	15.41	15.41
RU000A1078H1	SOBI-LEASING 001P-03	150	19.04.2024	1000	RUB	970	17.5	13.95	13.95
RU000A106L67	OilResurs02	300	19.04.2024	1000	RUB	1000	16.5	13.56	13.56
RU000A1065H8	Cousin BO-P02	70	19.04.2024	1000	RUB	1000	16.5	13.56	13.56
RU000A106565	Gazprom Neft 003P-06R	22000	19.04.2024	1000	RUB	1000	17.3	43.13	43.13
RU000A106540	MV FINANCE 001P-04	7000	19.04.2024	1000	RUB	1000	13.05	32.54	32.54
RU000A106516	PhosAgro BO-P01	20000	19.04.2024	1000	RUB	1000	9.4	46.87	46.87
RU000A105P64	Ferroni BO-02	200	19.04.2024	1000	RUB	900	16.5	12.21	12.21
